27.8571428571 - [485, 'merriss-s.txt']
27.0479452055 - [563, 'linder-e.txt']
26.7310344828 - [640, 'phanis-s.txt']
25.9375 - [1222, 'king-j.txt']
25.5594405594 - [1921, 'townsend-j.txt']
24.6408450704 - [2289, 'ermis-f.txt']
24.7872340426 - [2604, 'motley-m.txt']
24.0642857143 - [3117, 'meyers-a.txt']
23.7553956835 - [3133, 'gilbertsmith-d.txt']
23.5434782609 - [3864, 'south-s.txt']
23.1678832117 - [4038, 'benson-r.txt']
23.2352941176 - [4343, 'maggi-m.txt']
22.4518518519 - [5472, 'shapiro-r.txt']
22.223880597 - [6464, 'williams-j.txt']
21.6390977444 - [6502, 'badeer-r.txt']
21.3257575758 - [6502, 'bailey-s.txt']
21.3282442748 - [7376, 'saibi-e.txt']
21.3615384615 - [7909, 'panus-s.txt']
21.4341085271 - [8044, 'dean-c.txt']
21.1484375 - [9034, 'reitmeyer-j.txt']
20.5511811024 - [9839, 'griffith-j.txt']
20.5793650794 - [10756, 'gang-l.txt']
20.168 - [10833, 'solberg-g.txt']
20.1935483871 - [11116, 'may-l.txt']
19.593495935 - [11231, 'slinger-r.txt']
19.3852459016 - [11373, 'arora-h.txt']
19.3636363636 - [12382, 'mckay-b.txt']
18.825 - [12939, 'pimenov-v.txt']
18.8487394958 - [13202, 'stepenovitch-j.txt']
17.9661016949 - [13874, 'swerzbin-m.txt']
17.3846153846 - [13990, 'donohoe-t.txt']
16.6982758621 - [14776, 'holst-k.txt']
16.747826087 - [15050, 'quenet-j.txt']
16.8245614035 - [15865, 'lokey-t.txt']
16.7168141593 - [17087, 'hodge-j.txt']
15.9821428571 - [17145, 'salisbury-h.txt']
15.9099099099 - [17165, 'staab-t.txt']
15.0363636364 - [17392, 'storey-g.txt']
14.6146788991 - [17965, 'wolfe-j.txt']
14.3518518519 - [18488, 'scholtes-d.txt']
13.9252336449 - [18649, 'ring-r.txt']
13.9056603774 - [19107, 'whalley-g.txt']
13.9238095238 - [19288, 'lewis-a.txt']
13.6153846154 - [19876, 'platter-p.txt']
13.6213592233 - [21285, 'keavey-p.txt']
13.6470588235 - [21684, 'fischer-m.txt']
13.5247524752 - [23261, 'rapp-b.txt']
13.55 - [25341, 'baughman-d.txt']
13.2121212121 - [25421, 'sanchez-m.txt']
12.9795918367 - [27239, 'dickson-s.txt']
12.9175257732 - [30068, 'ybarbo-p.txt']
12.9166666667 - [30691, 'hendrickson-s.txt']
12.6315789474 - [30718, 'whitt-m.txt']
11.7234042553 - [30792, 'mccarty-d.txt']
11.7849462366 - [32203, 'ring-a.txt']
11.6956521739 - [35632, 'schwieger-j.txt']
11.4835164835 - [37224, 'lucci-p.txt']
11.4333333333 - [37553, 'zufferli-j.txt']
11.4494382022 - [41447, 'carson-m.txt']
10.6022727273 - [42189, 'geaccone-t.txt']
9.67816091954 - [43549, 'parks-j.txt']
9.79069767442 - [46585, 'semperger-c.txt']
9.2 - [47630, 'thomas-p.txt']
9.20238095238 - [48940, 'shively-h.txt']
9.18072289157 - [50428, 'zipper-a.txt']
9.19512195122 - [51286, 'schoolcraft-d.txt']
9.0987654321 - [51360, 'derrick-j.txt']
9.1125 - [51406, 'brawner-s.txt']
8.3417721519 - [52387, 'hernandez-j.txt']
7.97435897436 - [53204, 'mckay-j.txt']
7.88311688312 - [53685, 'donoho-l.txt']
7.85526315789 - [56056, 'martin-t.txt']
7.85333333333 - [56375, 'lokay-m.txt']
7.87837837838 - [63448, 'keiser-k.txt']
